"","example1","example2","example3","example4","example5","example6","example7","example8","example9","example10","example11","example12"
"AFMID",3270,667,1953,1052,523,3268,2181,1187,1342,981,501,1557
"ALOX5",2326,6193,4692,4204,702,348,2061,736,2281,5180,2166,1565
"ASB13",5488,630,895,369,2901,4702,802,397,1345,278,931,296
"AUH",589,826,1099,771,694,1697,821,804,847,768,1089,683
"BANK1",1188,1583,742,740,776,213,2120,1728,3237,10053,3201,2372
"BATF",727,1163,178,1879,346,324,6175,5375,1552,11290,4288,4743
"BATF3",143,183,32,158,26,37,304,135,88,222,217,150
"BCL2",296,1952,5158,7312,324,4624,661,2275,2535,3113,7400,1372
"BTG2",5901,1325,2706,6035,4218,9373,6619,4712,12708,4415,7905,4739
"CARD11",1848,805,3123,6708,1693,4625,2847,5759,3883,8801,2762,2799
"CCDC50",910,1091,503,2689,979,465,3740,1942,577,2169,813,1335
"CCL17",79,1316,72,227,10,4119,506,31,63,766,37,14
"CD24",939,530,50446,8016,333,178,8670,3773,468,8871,3749,1703
"CD80",884,1567,118,1544,472,2602,4278,252,1410,382,2477,362
"CDK5R1",166,660,246,251,162,1951,168,654,244,168,989,1785
"CREB3L2",526,613,196,4114,492,261,1452,2671,486,1883,777,2100
"CYB5R2",284,496,87,629,60,86,2442,736,228,998,311,1755
"EBI3",2634,737,66,462,1724,6048,5829,801,1244,1455,2646,4155
"FAM159A",489,295,974,1002,226,948,1191,660,1472,577,1442,459
"FCGR2B",922,4200,86,841,909,910,2145,218,556,4671,494,136
"FSCN1",529,504,345,198,548,145,228,428,168,337,469,466
"GAMT",193,113,140,114,105,157,294,90,69,232,137,82
"GPR137B",2485,920,172,454,1548,3881,2147,393,1035,292,982,471
"HOMER2",23,108,1544,45,18,20,373,231,16,642,130,39
"IFIH1",1123,676,339,355,816,1227,1338,489,698,859,770,381
"IL13RA1",1982,3638,917,1208,1322,1044,2417,1779,1584,1782,5042,1275
"IL21R",3812,1039,1250,2267,3180,3572,3587,1915,1545,546,3101,1384
"IRF4",762,2901,177,18537,1849,6559,15503,7034,9901,7117,2892,10195
"ITPKB",5017,729,917,663,2580,5062,1360,591,2259,429,1725,656
"JCHAIN",12893,3942,63997,16529,10687,272,2646,6531,1784,1855,2349,34094
"LIMA1",2780,1116,1513,610,1254,2092,1390,988,527,611,1108,881
"LIMD1",188,374,116,622,133,140,530,540,402,996,520,770
"LY75",3956,3097,2082,1854,1711,10082,6584,2181,2505,2188,3172,834
"MAL",100,81,64,391,41,45,70,195,70,76,282,89
"MAML3",635,86,317,53,543,1055,54,72,107,46,162,71
"MIR155HG",1476,7065,1352,10927,8284,20159,19593,4194,15996,3530,14472,20844
"MME",512,246,698,46,926,2761,47,73,1400,170,176,37
"MOBKL2C",286,404,8963,345,146,272,368,320,342,390,576,264
"MST1R",947,14,54,42,519,723,98,50,34,77,94,50
"MYBL1",2905,54,929,225,2255,3571,88,40,1337,151,415,291
"MYC",1811,1580,2400,3047,767,1142,1128,4374,987,3637,2922,2342
"NECAP2",4627,3912,3375,4139,2859,4732,3992,3397,4059,4089,4101,3212
"NFIL3",442,1320,171,178,193,332,432,238,388,302,279,280
"OR13A1",38,17,348,46,7,14,12,17,38,53,11,12
"PDCD1LG2",96,208,56,105,67,38,100,99,122,88,148,107
"PEG10",66,39,1004,2376,235,1280,603,70,1498,3389,284,83
"PIM2",3847,4569,1824,17243,5604,6026,55022,20692,12599,20380,21675,20847
"PRDX2",8946,5986,4634,4404,2736,503,2954,1694,6148,2923,1479,7353
"PRKCB",844,1137,498,7481,1508,1257,3588,3068,2902,2793,2432,4562
"PRR6",321,606,447,810,201,250,894,578,300,1206,301,298
"PTGIR",103,111,34,54,49,429,185,48,76,54,90,48
"PVT1",490,813,2117,862,303,2181,742,799,1028,1040,1489,793
"QRSL1",833,605,4907,1676,694,986,4007,1689,496,2542,1551,917
"QSOX1",442,745,661,464,509,198,379,202,348,278,406,299
"RAB7L1",773,767,685,2041,557,367,6728,2210,1025,2288,3083,4691
"RCL1",471,327,506,750,459,1200,564,629,697,749,594,1155
"RFFL",127,390,58,258,95,543,613,197,145,176,213,151
"RGCC",97,417,557,251,246,69,217,90,863,56,408,91
"RHOF",2021,2032,1625,1563,1621,4380,2790,926,1498,1738,2717,1389
"S1PR2",5574,419,1038,259,2483,7944,1291,232,1786,196,730,81
"SEMA7A",985,2497,1751,1913,332,429,3177,2526,1593,2769,4649,2795
"SERPINA9",42267,19,2947,258,12542,9377,172,6,624,111,513,46
"SGPP2",1590,589,104,1024,1402,3236,3353,248,566,847,1180,733
"SLAMF1",1063,958,1077,161,1369,2951,180,149,1134,124,885,44
"SLC25A27",139,46,245,28,161,188,57,28,326,39,59,37
"SMIM14",12885,2947,6847,2422,1703,396,541,9355,735,1340,1457,553
"SNHG19",2440,1732,2483,4315,1223,2264,2207,2617,1535,2332,1494,2196
"SNX11",2477,1128,532,1174,710,7506,3271,1620,1508,1412,2234,1697
"STAT3",4931,5256,1874,4194,4214,4240,7062,12058,6209,6807,7746,7492
"SYBU",111,48,194,121,17,17,27,28,394,40,25,256
"TFPI2",32,161,536,18,30,569,26,19,68,28,41,13
"TMOD1",19,59,12,6,35,45,90,11,20,15,41,47
"TNFRSF13B",215,1368,6,2184,114,193,5226,6146,1423,5480,1033,4842
"TNFSF8",104,100,706,431,66,121,48,130,101,145,212,333
"TRAF1",2190,2195,808,1340,2574,11296,3563,784,4917,737,2901,579
"VASP",22876,8651,5913,7849,12980,29387,15867,4923,7938,9738,15901,12627
"VOPP1",9093,9594,3301,28283,6954,14491,21979,15005,26537,25704,18338,14590
"DNAJB12",310,306,301,362,191,439,402,280,286,338,361,264
"GIT2",1797,1142,3304,1472,1195,2623,1682,1265,1877,1955,1749,1116
"GSK3B",946,828,713,1131,608,1785,1219,796,922,1016,1047,948
